,State Cleanup Site #,Name,Address,City,ZIP,County,Status,Media Name,Contaminant,Chemical,SNO
1255,200101152,CSX Napanee,CSX railroad,Napanee,46550,Elkhart,NFA,Soil,Petroleum,Petroleum Products,177
1266,200103182,Former Bearings & Seals,1301 W. 16th St.,Indianapolis,46202,Marion,NFA,Soil,Petroleum,Petroleum Products,124
1267,200103191,Elwood School,1803 N. J St.,Elwood,46036,Madison,NFA,Soil,Petroleum,Petroleum Products,187
1268,200103202,Oakland School,2100 S. P. St.,Elwood,46036,Madison,NFA,Soil,Petroleum,Petroleum Products,187
1270,200103238,Lakeville High School,69969 US 31 South,LAKEVILLE,46536,St Joseph,NFA,Soil,Petroleum,Petroleum Products,396
1271,200103272,Lakeville Elementary,69969 US 31 South,LAKEVILLE,46536,St Joseph,NFA,Groundwater,Petroleum,Petroleum,396
1272,200104033,Thompson Lawn & Power,2668 S. SR 135,GREENWOOD,46142,Johnson,Inactive,Soil,Petroleum,Petroleum Products,61
1274,200104072,Growers Coop,2030 East National Ave.,Brazil,47834,Clay,NFA,Soil,Petroleum,Petroleum Products,130
1275,200104221,Robert Carey,SR. 35 & CR. 600 W.,Cole,47581,Grant,NFA,Soil,Petroleum,Petroleum Products,347
1277,200104232,Tube Processing Corp  Indianapolis,1146 Nelson St,Indianapolis,46203,Marion,NFA,Soil,Petroleum,Petroleum Products,25
1278,200104233,Lassus Brothers,4413 Meridian Road,Huntington,46750,Huntington,Delisted,Groundwater,Petroleum,Petroleum Products,84
1297,200105146,Kroger,8939 East 38th St.,Indianapolis,46226,Marion,NFA,Soil,Petroleum,Petroleum Products,8
1299,200105234,Marathon Bloomington,442 S. Walnut Street,Bloomington,47401,Monroe,NFA,Groundwater,Petroleum,Benzene,12
1300,200105234,Marathon Bloomington,442 S. Walnut Street,Bloomington,47401,Monroe,NFA,Groundwater,Petroleum,Tert-butyl methyl ether,12
1301,200105234,Marathon Bloomington,442 S. Walnut Street,Bloomington,47401,Monroe,NFA,Soil,Petroleum,Benzene,12
1303,200105282,City of Martinsville,Seymour & Wayne St.,MARTINSVILLE,46151,Morgan,NFA,Soil,Petroleum,Petroleum Products,53
1304,200105288,Kmart/Penske Auto,9550 Wicker Blvd.,SAINT JOHN,46373,Lake,NFA,Soil,Petroleum,Petroleum Products,158
1306,200106007,North Shore Sales,1301 Pine Lake,LA PORTE,46350,La Porte,Delisted,Soil,Petroleum,Petroleum,13
1311,200106185,Kite Construction/Walgreens/Taco Bell,6191 N Keystone Avenue,Indianapolis,46220,Marion,REF,Groundwater,Petroleum,Petroleum Products,33
1312,200106185,Kite Construction/Walgreens/Taco Bell,6191 N Keystone Avenue,Indianapolis,46220,Marion,REF,Soil,Petroleum,Petroleum Products,33
1313,200106189,Abbott Elementary School,4325 Smith St.,FORT WAYNE,46806,Allen,NFA,Soil,Petroleum,Petroleum Products,87
1315,200106196,Saint Bartholomew Parrish,1306 27th St.,COLUMBUS,47203,Bartholomew,NFA,Soil,Petroleum,Petroleum Products,78
1317,200107108,Baseball Fields,4th & 5th; VA + PA streets,GARY,46402,Lake,NFA,Soil,Petroleum,Petroleum Products,265
1318,200107248,"Powco, Inc.",2583 S. S.R. 1,Cambridge City,47327,Wayne,Inactive,Soil,Petroleum,Organics,318
1319,200107289,"200 South Michigan ST, Plymouth",200 South Michigan ST,Plymouth,46563,Marshall,Delisted,Groundwater,Petroleum,Petroleum Products,95
1320,200107289,"200 South Michigan ST, Plymouth",200 South Michigan ST,Plymouth,46563,Marshall,Delisted,Soil,Petroleum,Petroleum Products,95
1322,200108014,Arlan Johnson,7320 S. 325 W.,Jamestown,46147,Boone,NFA,Soil,Petroleum,Petroleum Products,389
1324,200108073,G & G Oil,5425 n. Keystone Ave.,Indianapolis,46220,Marion,NFA,Soil,Petroleum,Organics,33
1327,200108105,Bridgestone Firestone,225 N. 9th St.,LAFAYETTE,47901,Tippecanoe,REF,Groundwater,Petroleum,Petroleum Products,353
