County,Chemical,Total Transfers,Total Releases,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank,Deaths,Years of Potential Life Lost
Daviess,Manganese compounds,0.0,0.0,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
Daviess,Methanol,0.0,853.0,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
Daviess,Toluene,0.0,77.0,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
Daviess,Xylene (mixed isomers),0.0,44.5,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
Daviess,Zinc compounds,0.0,227.0,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
Daviess,n-Hexane,0.0,6260.0,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9,463,7361.2439013
Dearborn,Chromium,14.8,2849.8,-0.256248497,29,-0.371944918,13,-0.16551512,13,-0.0085333,44,-0.145308523,23,0.0301892476,74,732,7817.0874082
Dearborn,Copper,466.04,4778.04,-0.256248497,29,-0.371944918,13,-0.16551512,13,-0.0085333,44,-0.145308523,23,0.0301892476,74,732,7817.0874082
Dearborn,Lead  And Lead Compounds,27.12,52.96,-0.256248497,29,-0.371944918,13,-0.16551512,13,-0.0085333,44,-0.145308523,23,0.0301892476,74,732,7817.0874082
Dearborn,Manganese,0.0,2348.0,-0.256248497,29,-0.371944918,13,-0.16551512,13,-0.0085333,44,-0.145308523,23,0.0301892476,74,732,7817.0874082
Dearborn,Nickel,50.8,262.8,-0.256248497,29,-0.371944918,13,-0.16551512,13,-0.0085333,44,-0.145308523,23,0.0301892476,74,732,7817.0874082
Decatur,"1,2,4-Trimethylbenzene",0.0,17162.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Certain glycol ethers,0.0,19933.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Chromium,0.0,5.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Copper,0.0,6862.3,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Diisocyanates,0.0,0.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Ethylbenzene,0.0,140.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
